title,price,ratings,stars,shipping+tax,brand,series,screenSize,color,hard_disk_size,cpu_model,ram,OS,card_description,graphics_coprocessor
"Acer Chromebook 311 Laptop | AMD A-Series Dual-Core A4-9120C | 11.6"" HD Display | AMD Radeon R4 Graphics | 4GB DDR4 | 64GB eMMC | 802.11ac WiFi 5 | Bluetooth 4.2 | Chrome OS | CB311-10H-42LY",$143.80,551 ratings,4.3 out of 5 stars, $281.00 Shipping & Import Fees Deposit to Bangladesh ,Acer,CB311-10H-42LY,11.6 Inches,Black,,AMD A4,4 GB,Chrome OS,Integrated,Shared
"Acer Swift X SFX14-41G-R1S6 Creator Laptop | 14"" Full HD 100% sRGB | AMD Ryzen 7 5800U | NVIDIA RTX 3050Ti GPU | 16GB LPDDR4X | 512GB SSD | Wi-Fi 6 | Backlit KB | Amazon Alexa | Windows 10 Home",$802.86,690 ratings,4.4 out of 5 stars," $1,130.88 Shipping & Import Fees Deposit to Bangladesh ",Acer,Swift X,14 Inches,Gold,512 GB,AMD Ryzen 7,16 GB,Windows 10 Home,Dedicated,
"MSI Stealth 17 Studio 17.3"" QHD 240Hz Gaming Laptop: Intel Core i9-13900H, RTX 4080, 32GB DDR5, 1TB NVMe SSD, Thunderbolt 4, USB-Type C, Cooler Boost Trinity+, Win11 Home: Core Black A13VH-053US",,,,,MSI,Stealth 17Studio A13VH-053US,17.3 Inches,Core Black,,Core i9,32 GB,Windows 11 Home,Dedicated,NVIDIA GeForce RTX 4080
"ASUS ROG Flow Z13 (2022) Gaming Laptop Tablet, 13.4” 120Hz FHD+ Display, NVIDIA GeForce RTX 3050, Intel Core i7-12700H, 16GB LPDDR5, 512GB PCIe SSD, Free Bundle Detachable RGB Keyboard, GZ301ZC-PS73","$1,399.00",87 ratings,4.5 out of 5 stars," $1,906.08 Shipping & Import Fees Deposit to Bangladesh ",ASUS,ROG Flow Z13 Gaming Laptop,13.4 Inches,Black,512 GB,Intel Core i7 Extreme,16 GB,Windows 11 Home,RTX 3050,NVIDIA GeForce RTX 3050
"Acer Predator Triton 500 SE Gaming/Creator Laptop | 12th Gen Intel i9-12900H | GeForce RTX 3080 Ti | 16"" WQXGA 240Hz G-SYNC Display | 32GB LPDDR5 | 1TB Gen 4x4 SSD | Killer Wi-Fi 6E | PT516-52s-99EL",,459 ratings,4.4 out of 5 stars,,Acer,PT516-52s-99EL,16 Inches,Gray,,Core i9,32 GB,Windows 11 Home,Dedicated,
"Lenovo IdeaPad Gaming 3i - 2022 - Everyday Gaming Laptop - NVIDIA GeForce RTX 3050Ti Graphics - 15.6"" FHD Display - 8GB Memory - 512GB Storage - Intel i7 12th Gen - Onyx Grey",$829.99,"1,411 ratings",4.4 out of 5 stars," $1,186.90 Shipping & Import Fees Deposit to Bangladesh ",Lenovo,"Lenovo Ideapad Gaming 3i 15""",15.6 Inches,Gray,512 GB,Core i7,8 GB,Windows 11 Home,Dedicated,NVIDIA GeForce RTX 3050
"MSI Computer GF63, NVIDIA GeForce GTX 1650 Graphics, 15.6"" 8GB 256GB Intel Core i5-10300H X4 2.5GHz Win10, Black",$606.00,189 ratings,4.6 out of 5 stars, $898.56 Shipping & Import Fees Deposit to Bangladesh ,MSI,GF63 Thin,15.6 Inches,Black,256 GB,Unknown,8 GB,Windows 10,Dedicated,NVIDIA GeForce GTX 1650
"ASUS ROG Zephyrus M16 Gaming Laptop, 16"" WQXGA 165Hz, 12th Gen Intel 14-Core i9-12900H, GeForce RTX 3070 Ti 120W, 40GB DDR5, 2TB PCIe SSD, Thunderbolt 4, RJ45, WiFi 6, RGB, SPS HDMI 2.1 Cable, Win 11","$2,149.99",,,,ASUS,,16 Inches,Black,2 TB,Core i9,,Windows 11 Home,Dedicated,NVIDIA GeForce RTX 3070 Ti
"EXCaliberPC 2023 MSI Titan GT77HX 13VI-042US (i9-13980HX, 128GB RAM, 8TB WD NVMe SSD, RTX 4090 16GB, 17.3"" 4K UHD, Windows 11 Pro) Gaming Laptop","$6,789.00",,,,EXCaliberPC,Titan GT77 HX,17.3 Inches,128GB RAM,8 TB,Intel Core i9,128 GB,Windows 11 Pro,,NVIDIA GeForce RTX 4090
"Acer Chromebook 314 | MediaTek MT8183C Octa-Core Processor | 14"" HD Display | Mali-G72 MP3 Graphics | 4GB LPDDR4X | 32GB eMMC | Wi-Fi 5 | Chrome OS | CB314-2H-K3YM",$279.99,3 ratings,3.2 out of 5 stars, $455.63 Shipping & Import Fees Deposit to Bangladesh ,Acer,CB314-2H-K3YM,14 Inches,Silver,,MediaTek MT8183,4 GB,Chrome OS,Integrated,
"Lenovo 2022 Newest Ideapad 3 Laptop, 15.6"" HD Touchscreen, 11th Gen Intel Core i3-1115G4 Processor, 8GB DDR4 RAM, 256GB PCIe NVMe SSD, HDMI, Webcam, Wi-Fi 5, Bluetooth, Windows 11 Home, Almond",$388.00,"2,014 ratings",4.4 out of 5 stars, $600.92 Shipping & Import Fees Deposit to Bangladesh ,Lenovo,IdeaPad 3 81X800ENUS,15.6 Inches,Almond,256 GB,Core i3,20 GB,Windows 11,Integrated,Intel UHD Graphics
"Acer Chromebook 514 Laptop | 14"" FHD Touch | MediaTek Kompanio 828 Octa-Core Processor | 8GB RAM | 64GB eMMC | Wi-Fi 6 | Backlit KB | Chrome OS | Up to 15 Hours Battery Life | CB514-2HT-K0FZ, Silver",$359.99,96 ratings,4.0 out of 5 stars, $578.39 Shipping & Import Fees Deposit to Bangladesh ,Acer,CB514-2HT-K0FZ,14 Inches,Silver,,,8 GB,Chrome OS,Integrated,
"ASUS Chromebook CX1, 15.6"" Full HD NanoEdge Display, Intel Celeron N3350 Processor, 64GB eMMC Storage, 8GB RAM, Chrome OS, Transparent Silver, CX1500CNA-AS84F",$209.99,275 ratings,4.1 out of 5 stars, $378.03 Shipping & Import Fees Deposit to Bangladesh ,ASUS,ASUS Chromebook CX1,15.6 Inches,Silver,64 GB,Celeron N3350,8 GB,Chrome OS,Integrated,
"Acer Nitro 5 AN515-57-79TD Gaming Laptop | Intel Core i7-11800H | NVIDIA GeForce RTX 3050 Ti Laptop GPU | 15.6"" FHD 144Hz IPS Display | 8GB DDR4 | 512GB NVMe SSD | Killer Wi-Fi 6 | Backlit Keyboard",$729.99,"3,702 ratings",4.5 out of 5 stars," $1,057.81 Shipping & Import Fees Deposit to Bangladesh ",Acer,AN515-57-79TD,15.6 Inches,Black,512,Core i7,8 GB,Windows 11 Home,Dedicated,NVIDIA GeForce RTX 3050
"Lenovo Legion 5 Pro 16"" 165Hz QHD IPS NVIDIA G-Sync 500 nits AMD Ryzen 9-6900HX 16GB DDR5 RAM 1TB SSD RTX 3070 Ti 8GB GDDR6 TGP 140W Gaming Laptop - AMD Ryzen 9 6900HX - NVIDIA GeForce RTX 3070 T",,,,,Lenovo,Legion 5 Pro,16 Inches,16GB RAM | 1TB PCIe SSD,1 TB,Ryzen 9,16 GB,Windows 11 Home,Dedicated,NVIDIA GeForce RTX 3070
"ASUS ROG Strix G16 (2023) Gaming Laptop, 16” 16:10 FHD 165Hz, GeForce RTX 4070, Intel Core i9-13980HX, 16GB DDR5, 1TB PCIe SSD, Wi-Fi 6E, Windows 11, G614JI-AS94","$1,999.99",,," $2,704.28 Shipping & Import Fees Deposit to Bangladesh ",ASUS,ROG Strix G16,16 Inches,Eclipse Gray,,Intel Core i9,16 GB,Windows 11 Home,Dedicated,NVIDIA GeForce RTX 4070
"ROG Zephyrus G14 Alan Walker Special Edition Gaming Laptop, 14” 120Hz Pantone Validated WQHD Display, GeForce RTX 3050 Ti, AMD Ryzen 9 5900HS, 16GB DDR4, 1TB SSD, Wi-Fi 6, Windows 10, GA401QEC-K2064T",,55 ratings,4.2 out of 5 stars,,ASUS,ROG Zephyrus G14,14 Inches,Gray,1,Ryzen 9,16 GB,Windows 10 Home,RTX 3050 Ti,NVIDIA GeForce RTX 3050
"Lenovo Legion 5 Pro Gaming Laptop, 16'' QHD IPS 165Hz Display, AMD Ryzen 7 5800H (Beat i9-10980HK),GeForce RTX 3070 140W,16GB RAM, 1TB SSD, USB-C, HDMI, RJ45, WiFi 6, RGB Keyboard, Win 11, Storm Grey",,7 ratings,5.0 out of 5 stars,,Lenovo,,16 Inches,Storm Grey,1 TB,Ryzen 7,16 GB,Windows 11,Dedicated,NVIDIA GeForce RTX 3070
"MSI Stealth 17 Studio 17.3"" QHD 240Hz Gaming Laptop: Intel Core i9-13900H, RTX 4090, 64GB DDR5, 2TB NVMe SSD, Thunderbolt 4, USB-Type C, Cooler Boost Trinity+, Win 11 Pro: Core Black A13VI-017US","$3,999.00",,,,MSI,Stealth 17Studio A13VI-017US,17.3 Inches,Core Black,2 TB,Core i9,64 GB,Windows 11 Pro,Dedicated,NVIDIA GeForce RTX 4090
"ASUS ROG Strix Scar 18 (2023) Gaming Laptop, 18” Nebula Display 16:10 QHD 240Hz/3ms, GeForce RTX 4090, Intel Core i9-13980HX, 32GB DDR5, 2TB PCIe SSD, Wi-Fi 6E, Windows 11 Pro, G834JY-XS97","$4,999.99",1 rating,3.0 out of 5 stars,,ASUS,ROG Strix SCAR 18,18 Inches,Black,,Intel Core i9,32 GB,Windows 11 Pro,Dedicated,
"MSI Stealth 15M Gaming Laptop: 15.6"" 144Hz FHD 1080p Display, Intel Core i7-11375H, NVIDIA GeForce RTX 3060, 16GB, 512GB SSD, Thunderbolt 4, WiFi 6, Win10, Carbon Gray (A11UEK-009)","$1,265.64",831 ratings,4.3 out of 5 stars," $1,739.59 Shipping & Import Fees Deposit to Bangladesh ",MSI,Stealth 15M A11UEK-009,15.6 Inches,Carbon Gray,512 GB,Core i7,16 GB,Windows 10 Home,Dedicated,NVIDIA GeForce RTX 3060
"Acer Nitro 5 Gaming Laptop, 9th Gen Intel Core i5-9300H, NVIDIA GeForce GTX 1650, 15.6"" Full HD IPS Display, 8GB DDR4, 256GB NVMe SSD, Wi-Fi 6, Backlit Keyboard, Alexa Built-in, AN515-54-5812",$699.99,"5,226 ratings",4.6 out of 5 stars,,Acer,Nitro 5,15.6 Inches,Black,256 GB,Core i5,8 GB,Windows 10 Home,Dedicated,NVIDIA GeForce GTX 1650
"Acer Aspire Vero AV15-51-7617 Green PC | 15.6"" FHD IPS 100% sRGB-Display | 11th Gen Intel Core i7-1195G7 | Intel Iris Xe Graphics | 16GB DDR4 | 512GB NVMe SSD | Wi-Fi 6 | PCR Materials | Vero-Sleeve",$509.99,314 ratings,4.5 out of 5 stars, $775.39 Shipping & Import Fees Deposit to Bangladesh ,Acer,Aspire Vero,15.6 Inches,Gray,,Intel Core i7,16 GB,Windows 11 Home,Integrated,
"Acer Nitro 5 AN515-58-7583 Gaming Laptop | Intel Core i7-12700H | NVIDIA GeForce RTX 3070 Ti Laptop GPU | 15.6"" QHD 165Hz 3ms IPS Display | 16GB DDR4 | 2TB SSD in RAID 0 | Killer WiFi 6 | RGB Keyboard","$1,799.99","3,702 ratings",4.5 out of 5 stars," $2,439.69 Shipping & Import Fees Deposit to Bangladesh ",Acer,AN515-58-7583,15.6 Inches,Black,,Core i7,32 GB,Windows 11 Home,Dedicated,NVIDIA GeForce RTX 3070
"Razer Blade 15 Base Gaming Laptop 2020: Intel Core i7-10750H 6 Core, NVIDIA GeForce RTX 2070 Max-Q, 15.6"" FHD 1080p 144Hz, 16GB RAM, 512GB SSD, CNC Aluminum, Chroma RGB Lighting, Thunderbolt 3, Black","$1,999.99","1,441 ratings",4.4 out of 5 stars," $2,680.22 Shipping & Import Fees Deposit to Bangladesh ",Razer,Blade 15,15.6 Inches,Black,512 GB,Corei7-10750H,16 GB,Windows 10,Dedicated,NVIDIA GeForce RTX 2070 Max-Q
"MSI Vector GP76 17.3"" QHD 240Hz Gaming Laptop Intel Core i9-12900H RTX3080TI 64GB 2TB NVMe SSD Win11 - Black (12UHSO-893)",,1 rating,5.0 out of 5 stars,,MSI,Vector GP76 12UHSO-893,17.3 Inches,Black,2 TB,Core i9,64 GB,Windows 11 Home,Dedicated,NVIDIA GeForce RTX 3080 Ti
"Razer Blade 14 Gaming Laptop: AMD Ryzen 9 6900HX - NVIDIA GeForce RTX 3070 Ti - 14"" QHD 165Hz - 16GB DDR5 RAM - 1TB PCIe SSD - Windows 11 - Ultra-Thin - CNC Aluminum - Chroma RGB - Mercury","$2,299.99",43 ratings,3.6 out of 5 stars," $3,067.11 Shipping & Import Fees Deposit to Bangladesh ",Razer,Blade 14,14 Inches,Mercury,,Ryzen 9,16 GB,Windows 11,Dedicated,NVIDIA GeForce RTX 3070 Ti
"MSI Katana GF66 15.6"" 144Hz FHD Gaming Laptop: Intel Core i7-12650H RTX 3050 Ti 16GB 512GB NVMe SSD, Type-C USB 3.2 Gen 1, High-ResoluTion Audio, Cooler Boost 5, Win11 Home: Black 12UD-436","$1,071.20","1,610 ratings",4.5 out of 5 stars," $1,498.69 Shipping & Import Fees Deposit to Bangladesh ",MSI,Katana GF66 12UD-436,15.6 Inches,Black,512 GB,Core i7,16 GB,Windows 10,RTX 3050 Ti,NVIDIA GeForce GTX 1650
"MSI Creator 15 Professional Laptop: 15.6"" UHD OLED 4K DCI-P3 100% Display, Intel Core i7-11800H, NVIDIA GeForce RTX 3080, 16GB RAM, 1TB NVME SSD, Thunderbolt 4, Win10 PRO, Black (A11UH-492)",,91 ratings,3.8 out of 5 stars," $3,205.87 Shipping & Import Fees Deposit to Bangladesh ",MSI,Creator 15 A11UH-492,15.6 Inches,Black,1 TB,Core i7 Family,16 GB,Microsoft Windows 10 Professional (64-Bit),RTX 3080,NVIDIA GeForce RTX 3080
"ASUS ROG Strix Scar 15 Gaming Laptop, 15.6” 240Hz IPS QHD Display, NVIDIA GeForce RTX 3070 Ti, Intel Core i9 12900H, 16GB DDR5, 1TB SSD, Per-Key RGB Keyboard, Windows 11 Home, G533ZW-AS94Q","$1,899.99",398 ratings,4.5 out of 5 stars," $2,579.27 Shipping & Import Fees Deposit to Bangladesh ",ASUS,ROG Strix SCAR 15,15.6 Inches,Black,1 TB,Core i9,16 GB,Windows 11 Home,RTX 3070Ti,
"MSI GF63 15.6"" 144Hz Gaming Laptop: Intel Core i7-11800H RTX 3050 TI 16GB 512GB NVMe SSD Win11 (11UD-260)","$1,199.00","1,610 ratings",4.5 out of 5 stars," $1,655.59 Shipping & Import Fees Deposit to Bangladesh ",MSI,GF63 Thin 11UD-260,15.6 Inches,Black,512 GB,Core i7,16 GB,Windows 11,RTX 3050 Ti,
"MSI Pulse GL66 15.6"" FHD 144Hz Gaming Laptop: Intel Core i7-12700H RTX 3070 16GB 512GB NVMe SSD, Type-C USB 3.2 Gen 1, RGB Gaming Keyboard, Cooler Boost 5, Win11 Home: Black 12UGKV-464","$1,285.08",159 ratings,4.4 out of 5 stars," $1,777.81 Shipping & Import Fees Deposit to Bangladesh ",MSI,Pulse GL66,15.6 Inches,Black,2 TB,Core i7,16 GB,Windows 11 Home,,NVIDIA GeForce RTX 3070
"Lenovo - 2022 - IdeaPad Flex 5i - 2-in-1 Chromebook Laptop Computer - Intel Core i3-1115G4 - 13.3"" FHD Touch Display - 8GB Memory - 128GB Storage - Chrome OS",$299.99,683 ratings,4.4 out of 5 stars, $495.27 Shipping & Import Fees Deposit to Bangladesh ,Lenovo,IdeaPad Flex 5i Chromebook,13.3,Abyss Blue,128 GB,Core i3,8 GB,Chrome OS,Integrated,Intel UHD Graphics
"Lenovo Legion 5 Pro Gaming Laptop, 16"" QHD IPS 165Hz, AMD 8-Core Ryzen 9 6900HX, GeForce RTX 3070 Ti, 32GB DDR5, 512GB PCIe SSD, VR Ready, HDMI, RJ45, WiFi 6, 4-Zone RGB, SPS HDMI 2.1 Cable, Win 11","$1,699.99",,,,Lenovo,,16 Inches,Gray,512 GB,Ryzen 9,,Windows 11,Dedicated,NVIDIA GeForce RTX 3070 Ti
"Asus VivoBook 15 , 15.6'' FHD NanoEdge Display, 11th Gen Intel Core i3-1115G4@3GHz, 8GB DDR4 RAM, 256GB PCIe SSD, USB-C, HDMI, Keypad, Webcam, SPS HDMI Cable, Win 11, Slate Grey, (F515E)",,12 ratings,4.5 out of 5 stars,,ASUS,,15.6 Inches,Slate Grey,256 GB,Core i3,8 GB,Windows 11,Integrated,Intel UHD Graphics
"ASUS ROG Strix G15 Gaming Laptop, 15.6â€  300Hz 3ms IPS Type FHD Display, NVIDIA GeForce RTX 3050 Ti, AMD Ryzen 7 4800H, 16GB DDR4, 512GB PCIe SSD, RGB Keyboard, Windows 11, G513IE-PH74","$1,031.13",110 ratings,4.5 out of 5 stars," $1,451.13 Shipping & Import Fees Deposit to Bangladesh ",ASUS,ROG Strix G15,15.6 Inches,Gray,512 GB,AMD Ryzen 7,16 GB,Windows 11 Home,GeForce RTX 3050 Ti,
"Lenovo - Legion 5 - Gaming Laptop - AMD Ryzen 5 5600H - 8GB DDR4 RAM - 512GB NVMe TLC SSD - NVIDIA GeForce RTX 3060 Graphics - 15.6"" FHD 120 Hz - Windows 11 Home - Phantom Blue",$899.99,30 ratings,4.5 out of 5 stars," $1,289.94 Shipping & Import Fees Deposit to Bangladesh ",Lenovo,"Lenovo Legion 5 15""",15.6,Phantom Blue,,Ryzen 5,8 GB,Windows 11 Home,Dedicated,NVIDIA GeForce RTX 3060
"ASUS ROG Flow Z13 (2023) Gaming Laptop Tablet, 13.4” Nebula Display 16:10 QHD 165Hz, GeForce RTX 4050, Intel Core i9-13900H, 16GB LPDDR5, 1TB PCIe SSD, Wi-Fi 6E, Windows 11, GZ301VU-DS94",,,,,ASUS,ROG Flow Z13,13.4 Inches,Black,,Core i9,16 GB,Windows 11 Home,Dedicated,
"Acer Chromebook 311 Laptop | AMD A-Series Dual-Core A4-9120C | 11.6"" HD Display | AMD Radeon R4 Graphics | 4GB DDR4 | 64GB eMMC | 802.11ac WiFi 5 | Bluetooth 4.2 | Chrome OS | CB311-10H-42LY",$143.80,551 ratings,4.3 out of 5 stars, $281.00 Shipping & Import Fees Deposit to Bangladesh ,Acer,CB311-10H-42LY,11.6 Inches,Black,,AMD A4,4 GB,Chrome OS,Integrated,Shared
"MSI Titan GT77 17.3"" UHD 144Hz Mini LED: Intel Core i9-13980HX, RTX 4090, 128GB DDR5, 4TB NVMe SSD, Thunderbolt 4, USB-Type C, Cooler Boost Titan, Win 11 Pro: Core Black 13VI-042US","$5,499.00",,,,MSI,Titan GT77HX 13VI-042US,17.3 Inches,Core Black,,Core i9,128 GB,Windows 11 Pro,Dedicated,NVIDIA GeForce RTX 4090
"MSI Raider GE67Hx 15.6"" OLED QHD 240Hz Gaming Laptop: Intel Core i7-12800HX RTX 3070 Ti 16GB DDR5 1TB NVMe SSD, USB-Type C, Thunderbolt 4, Cooler Boost 5, Win11 Pro: Titanium Blue 12UGS-013",,12 ratings,4.1 out of 5 stars,,MSI,Raider GE67Hx 12UGS-013,15.6,Blue,1 TB,Core i7,16 GB,Windows 11 Pro,Dedicated,
"LG UltraPC 16U70Q Thin and Lightweight Laptop, 16” (1920 x 1200) Anti-Glare IPS Display, Ryzen 7 Processor, 16GB Memory – 512GB Solid State Drive, WiFi 6, Windows 11, Gray",$818.72,16 ratings,4.1 out of 5 stars," $1,182.64 Shipping & Import Fees Deposit to Bangladesh ",LG,LG UltraPC,16 Inches,Gray,,Ryzen 7 5800U,16 GB,Windows 11 Home,Integrated,AMD Radeon Vega 3
ASUS E410 Intel Celeron N4020 4GB 64GB 14-Inch HD LED Win 10 Laptop (Star Black),$195.00,402 ratings,4.1 out of 5 stars, $348.61 Shipping & Import Fees Deposit to Bangladesh ,ASUS,Asus,14 Inches,Black,64 GB,Celeron,4 GB,Windows 10,Integrated,
"Acer Predator Helios 300 PH315-54 PH315-54-70EH 15.6"" Gaming Notebook - QHD - 2560 x 1440 - Intel Core i7 11th Gen i7-11800H Octa-core (8 Core) 2.40 GHz - 16 GB RAM - 1 TB SSD","$1,825.42",,,,Acer,Predator Helios 300 PH315-54,15.6 Inches,Abyss Black,1 TB,Core i7 Family,16 GB,Windows 10 Pro,GeForce RTX 3070,
"Gateway 14"" FHD Ultra Slim Laptop, 11th Gen Intel 4-Core i5-1135G7, Intel Iris Xe Graphics, 16GB RAM, 1TB SSD, Tuned by THX, USB-C, HDMI, WiFi, FP Reader, Webcam, SPS HDMI Cable, Win 10",,2 ratings,5.0 out of 5 stars,,Gateway,,14 Inches,Silver,1 TB,Core i5,16 GB,Windows 10,Integrated,Intel Iris Xe Graphics
"Razer Blade Pro 17 Gaming Laptop 2019: Intel Core i7-9750H, NVIDIA GeForce RTX 2080 Max-Q, 17.3"" FHD 240Hz, 16GB RAM, 512GB SSD, CNC Aluminum, Chroma RGB Lighting, Thunderbolt 3, SD Card Reader","$3,076.87",18 ratings,4.3 out of 5 stars," $4,078.64 Shipping & Import Fees Deposit to Bangladesh ",Razer,Blade Pro 17,17.3 Inches,Black,512 GB,Core i7 Family,16 GB,Windows 10,Dedicated,NVIDIA GeForce RTX 2080 Max-Q
"MSI Katana GF66 15.6"" 144Hz 3ms FHD Gaming Laptop Intel Core i7-11800H RTX 3060 16GB 512GB NVMe SSD Win11 (11UE-617)","$1,088.95","1,610 ratings",4.5 out of 5 stars," $1,520.18 Shipping & Import Fees Deposit to Bangladesh ",MSI,Katana GF66 11UE-617,15.6 Inches,Black,,Core i7,16 GB,Windows 11,RTX 3060,NVIDIA GeForce RTX 3060
"Dell 2022 G15 15.6"" 120Hz FHD Gaming Laptop 8-Core AMD Ryzen 7 6800H 32GB DDR5 1TB NVMe SSD NVIDIA GeForce RTX 3050TI 4GB GDDR6 Webcam HDMI2.1 WiFi AX BT RJ-45 USB-C Backlit Keyboard Windows 11 Pro",,14 ratings,4.2 out of 5 stars,,Dell,G15,15.6 Inches,Gray,1 TB,Core I7 11800H,32 GB,Windows 11 Pro,Dedicated,NVIDIA GeForce RTX 3050 Ti
"MSI Raider GE78 HX 17.3"" QHD+ 240Hz Gaming Laptop: Intel Core i9-13980HX, RTX 4080, 64GB DDR5, 2TB NVMe SSD, Thunderbolt 4, USB-Type C, Cooler Boost 5, Win 11 Pro: Dark Grey 13VH-080US","$3,799.00",1 rating,5.0 out of 5 stars,,MSI,Raider GE78 HX 13VH-080US,17 Inches,Dark Grey,2 TB,Core i9,64 GB,Windows 11 Pro,Dedicated,NVIDIA GeForce RTX 4080
"Acer Predator Triton 500 SE Gaming/Creator Laptop | 12th Gen Intel i9-12900H | GeForce RTX 3080 Ti | 16"" WQXGA 240Hz G-SYNC Display | 32GB LPDDR5 | 1TB Gen 4x4 SSD | Killer Wi-Fi 6E | PT516-52s-99EL",,459 ratings,4.4 out of 5 stars,,Acer,PT516-52s-99EL,16 Inches,Gray,,Core i9,32 GB,Windows 11 Home,Dedicated,
